rank,coachRating,percentile,rawScore,name,coachId,birthDate,birthDateSource,birthPlace,birthPlaceSource,deathDate,nationality,nationalitySource,college,collegeSource,highSchool,almaMater,nickname,currentTeam,currentRole,latestSeason,headCoachSeasons,assistantCoachSeasons,regularGames,regularWins,regularLosses,regularWinPct,playoffGames,playoffWins,playoffLosses,playoffWinPct,wnbaChampionships,wnbaFinalsAppearances,coachOfTheYear,coachOfTheMonth,championshipPoints,coachOfYearPoints,regularSeasonWinPoints,playoffWinPoints,imageUrl,localImage,basketballReferenceUrl,wikipediaUrl,wikipediaMatchScore
11,66,90.74,40.785,John Whisenant,whisejo99w,1945-06-18,basketball-reference,"Gore, OK",basketball-reference,,,,Connors State College,basketball-reference,,,,NYL,Head Coach,2012,7,0,207,119,88,0.575,34,20,14,0.588,1,0,1,0,16,10,4.165,3.2,,,https://www.basketball-reference.com/wnba/coaches/whisejo99w.html,https://en.wikipedia.org/wiki/John_Whisenant,138
12,65,89.81,37.15,Curt Miller,millecu01w,1968-10-05,basketball-reference,"Girard, PA",basketball-reference,,,,Baldwin-Wallace College,basketball-reference,,,,LAS,Head Coach,2024,9,1,306,165,141,0.539,33,16,17,0.485,0,0,2,3,0,20,5.775,2.56,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Curt_Miller_in_2019_%28cropped%29.jpg/960px-Curt_Miller_in_2019_%28cropped%29.jpg,images/012_Curt_Miller.jpg,https://www.basketball-reference.com/wnba/coaches/millecu01w.html,https://en.wikipedia.org/wiki/Curt_Miller,138
13,65,88.89,31.885,Lin Dunn,dunnli99w,1947-05-10,basketball-reference,"Dresden, TN",basketball-reference,,,,University of Tennessee at Martin,basketball-reference,,,,IND,Head Coach,2014,10,4,334,168,166,0.503,43,23,20,0.535,1,0,0,0,16,0,5.88,3.68,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Lin_Dunn.JPG/960px-Lin_Dunn.JPG,images/013_Lin_Dunn.jpg,https://www.basketball-reference.com/wnba/coaches/dunnli99w.html,https://en.wikipedia.org/wiki/Lin_Dunn,138
14,64,87.96,30.935,Anne Donovan,donovan99w,1961-11-01,basketball-reference,"Ridgewood, NJ",basketball-reference,2018-06-13,,,Old Dominion,basketball-reference,"Paramus Catholic(Paramus, New Jersey)",,,CON,Head Coach,2015,13,1,419,205,214,0.489,31,14,17,0.452,1,0,0,0,16,0,7.175,2.24,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Anne_Donovan_Beijing_Olympic_Games_in_2008.jpg/960px-Anne_Donovan_Beijing_Olympic_Games_in_2008.jpg,images/014_Anne_Donovan.jpg,https://www.basketball-reference.com/wnba/coaches/donovan99w.html,https://en.wikipedia.org/wiki/Anne_Donovan,110
15,64,87.04,26.37,Stephanie White,mccarst01w,1977-06-20,basketball-reference,"Danville, IL",basketball-reference,,,,Purdue,basketball-reference,"Seeger (West Lebanon, Indiana)",,,IND,Head Coach,2026,6,8,220,134,86,0.609,34,17,17,0.5,0,0,1,2,0,10,4.69,2.72,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Stephanie_White_2024_%28cropped%29.jpg/960px-Stephanie_White_2024_%28cropped%29.jpg,images/015_Stephanie_White.jpg,https://www.basketball-reference.com/wnba/coaches/mccarst01w.html,https://en.wikipedia.org/wiki/Stephanie_White,138
16,63,86.11,25.5,Corey Gaines,gaineco99w,1965-06-01,basketball-reference,"Los Angeles, CA",basketball-reference,,,,UCLA,basketball-reference,"Saint Bernard(Playa del Rey, California)",,,PHO,Head Coach,2013,6,2,191,90,101,0.471,20,11,9,0.55,1,0,0,0,16,0,3.15,1.76,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Corey_Gaines_Japan_20260312_%282%29.jpg/960px-Corey_Gaines_Japan_20260312_%282%29.jpg,images/016_Corey_Gaines.jpg,https://www.basketball-reference.com/wnba/coaches/gaineco99w.html,https://en.wikipedia.org/wiki/Corey_Gaines,138
17,63,85.19,23.875,Gary Kloppenburg,kloppga99w,1953-01-06,basketball-reference,"Lindsay, CA",basketball-reference,,,,Feather River College,basketball-reference,"La Jolla (La Jolla, California)",,,IND,Assistant Coach,2022,4,15,98,43,55,0.439,7,7,0,1,1,0,0,0,16,0,1.505,1.12,,,https://www.basketball-reference.com/wnba/coaches/kloppga99w.html,https://en.wikipedia.org/wiki/Gary_Kloppenburg,110
18,63,84.26,23.787,Paul Westhead,westhpa99w,1939-02-21,basketball-reference,"Philadelphia, PA",basketball-reference,,,,Saint Joseph's,basketball-reference,"West Catholic Preparatory(Philadelphia, Pennsylvania)",,,PHO,Head Coach,2007,2,0,68,41,27,0.603,9,7,2,0.778,1,0,0,0,16,0,1.435,1.12,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images/018_Paul_Westhead.png,https://www.basketball-reference.com/wnba/coaches/westhpa99w.html,https://en.wikipedia.org/wiki/Paul_Westhead,138
19,62,83.33,18.345,Marynell Meadors,meadoma99w,1943-08-27,basketball-reference,"Nashville, TN",basketball-reference,,,,Middle Tennessee,basketball-reference,,,,ATL,Head Coach,2012,8,2,230,111,119,0.483,20,8,12,0.4,0,0,1,0,0,10,3.885,1.28,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Marynell_Meadors_Atlanta_Dream.JPG/960px-Marynell_Meadors_Atlanta_Dream.JPG,images/019_Marynell_Meadors.jpg,https://www.basketball-reference.com/wnba/coaches/meadoma99w.html,https://en.wikipedia.org/wiki/Marynell_Meadors,138
20,62,82.41,17.234,Carol Ross,rossca99w,1959-06-11,basketball-reference,"Oakland, MS",basketball-reference,,,,Ole Miss,basketball-reference,,,,LAS,Head Coach,2014,3,3,90,58,32,0.644,7,3,4,0.429,0,0,1,0,0,10,2.03,0.48,https://upload.wikimedia.org/wikipedia/commons/5/5d/Flag_of_the_United_States_%2823px%29.png,images/020_Carol_Ross.png,https://www.basketball-reference.com/wnba/coaches/rossca99w.html,https://en.wikipedia.org/wiki/Carol_Ross,138
21,61,81.48,15.165,Natalie Nakase,nakasna01w,1980-04-18,basketball-reference,"Anaheim, CA",basketball-reference,,,,UCLA,basketball-reference,"Marina (Huntington Beach, California)",,,GSV,Head Coach,2026,2,3,72,42,30,0.583,2,0,2,0,0,0,1,1,0,10,1.47,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Natalie_Nakase_2025_%28cropped%29.jpg/960px-Natalie_Nakase_2025_%28cropped%29.jpg,images/021_Natalie_Nakase.jpg,https://www.basketball-reference.com/wnba/coaches/nakasna01w.html,https://en.wikipedia.org/wiki/Natalie_Nakase,138
22,61,80.56,15.15,Marianne Stanley,stanlma99w,1954-04-29,basketball-reference,"Yeadon, PA",basketball-reference,,,,Immaculata University,basketball-reference,"Archbishop Prendergast(Drexel Hill, Pennsylvania)",,,IND,Head Coach,2022,5,17,129,40,89,0.31,5,3,2,0.6,0,0,1,0,0,10,1.4,0.48,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Marianne_Stanley_cropped.jpg/960px-Marianne_Stanley_cropped.jpg,images/022_Marianne_Stanley.jpg,https://www.basketball-reference.com/wnba/coaches/stanlma99w.html,https://en.wikipedia.org/wiki/Marianne_Stanley,138
23,60,79.63,14.67,Nicki Collen,colleni99w,1975-05-13,basketball-reference,"Indiana, U.S.",wikipedia,,,,"Purdue,Marquette",basketball-reference,,,,ATL,Head Coach,2020,3,2,90,38,52,0.422,5,2,3,0.4,0,0,1,2,0,10,1.33,0.32,,,https://www.basketball-reference.com/wnba/coaches/colleni99w.html,https://en.wikipedia.org/wiki/Nicki_Collen,100
24,60,78.7,13.67,Suzie McConnell Serio,mcconsu01w,1966-07-29,basketball-reference,"Pittsburgh, PA",basketball-reference,,,,Penn State,basketball-reference,,,,MIN,Head Coach,2006,4,0,125,58,67,0.464,5,1,4,0.2,0,0,1,0,0,10,2.03,0.16,https://upload.wikimedia.org/wikipedia/commons/5/5d/Flag_of_the_United_States_%2823px%29.png,images/024_Suzie_McConnell_Serio.png,https://www.basketball-reference.com/wnba/coaches/mcconsu01w.html,https://en.wikipedia.org/wiki/Suzie_McConnell-Serio,128
25,59,77.78,12.595,Richie Adubato,adubari99w,1937-11-23,basketball-reference,"Irvington, NJ",basketball-reference,2025-11-06,,,William Paterson University,basketball-reference,"Clifford Scott(East Orange, New Jersey)",,,WAS,Head Coach,2007,9,0,250,134,116,0.536,29,14,15,0.483,0,0,0,0,0,0,4.69,2.24,https://upload.wikimedia.org/wikipedia/en/0/00/Richie_Adubato.jpg,images/025_Richie_Adubato.jpg,https://www.basketball-reference.com/wnba/coaches/adubari99w.html,https://en.wikipedia.org/wiki/Richie_Adubato,138
26,59,76.85,9.645,Fred Williams,willifr99w,1957-02-08,basketball-reference,"Inglewood, CA",basketball-reference,,,,Boise State,basketball-reference,,,,LAS,Assistant Coach,2022,11,11,308,139,169,0.451,14,5,9,0.357,0,0,0,0,0,0,4.865,0.8,,,https://www.basketball-reference.com/wnba/coaches/willifr99w.html,https://en.wikipedia.org/wiki/Fred_Williams_(basketball%2C_born_1957),110
27,58,75.93,8.75,Pokey Chatman,chatmda99w,1969-06-18,basketball-reference,"Ama, LA",basketball-reference,,,,LSU,basketball-reference,"Hahnville (Boutte, Louisiana)",,,SEA,Associate General Manager & Assistant Coach,2025,9,4,306,134,172,0.438,19,7,12,0.368,0,0,0,0,0,0,4.69,1.12,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Pokey_Chatman_%28cropped%29.jpg/960px-Pokey_Chatman_%28cropped%29.jpg,images/027_Pokey_Chatman.jpg,https://www.basketball-reference.com/wnba/coaches/chatmda99w.html,https://en.wikipedia.org/wiki/Pokey_Chatman,128
28,58,75,7.363,Brian Winters,wintebr99w,1952-03-01,basketball-reference,"Rockaway, NY",basketball-reference,,,,South Carolina,basketball-reference,"Archbishop Molloy(Queens, New York)",,,IND,Head Coach,2007,4,0,136,78,58,0.574,12,5,7,0.417,0,0,0,0,0,0,2.73,0.8,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images/028_Brian_Winters.png,https://www.basketball-reference.com/wnba/coaches/wintebr99w.html,https://en.wikipedia.org/wiki/Brian_Winters,110
29,57,74.07,7.095,Noelle Quinn,quinnno01w,1985-01-03,basketball-reference,"Los Angeles, CA",basketball-reference,,,,UCLA,basketball-reference,"Bishop Montgomery(Torrance, California)",,,SEA,Head Coach,2025,5,2,186,97,89,0.522,12,4,8,0.333,0,0,0,0,0,0,3.395,0.64,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/NoelleQuinn_Storm_HeadCoach.jpg/960px-NoelleQuinn_Storm_HeadCoach.jpg,images/029_Noelle_Quinn.jpg,https://www.basketball-reference.com/wnba/coaches/quinnno01w.html,https://en.wikipedia.org/wiki/Noelle_Quinn,138
30,57,73.15,6.61,Cheryl Miller,millech99w,1964-01-03,basketball-reference,"Riverside, CA",basketball-reference,,,,USC,basketball-reference,"Riverside Polytechnic(Riverside, California)",,,PHO,Head Coach,2000,4,0,122,70,52,0.574,9,3,6,0.333,0,0,0,0,0,0,2.45,0.48,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Cheryl_Miller_in_Final_Four_game_against_Tennessee.jpg/960px-Cheryl_Miller_in_Final_Four_game_against_Tennessee.jpg,images/030_Cheryl_Miller.jpg,https://www.basketball-reference.com/wnba/coaches/millech99w.html,https://en.wikipedia.org/wiki/Cheryl_Miller,128
31,56,72.22,6.435,Pat Coyle,coylepa99w,1960-09-05,basketball-reference,"Philadelphia, PA",basketball-reference,,,,Rutgers University,basketball-reference,,,Patty,NYL,Head Coach,2009,6,6,171,81,90,0.474,16,6,10,0.375,0,0,0,0,0,0,2.835,0.96,,,https://www.basketball-reference.com/wnba/coaches/coylepa99w.html,https://en.wikipedia.org/wiki/Pat_Coyle_(basketball),128
32,56,71.3,5.44,Jenny Boucek,bouceje01w,1973-12-20,basketball-reference,"Nashville, TN",basketball-reference,,,,Virginia,basketball-reference,"University School of Nashville (Nashville, Tennessee)",,,SEA,Head Coach,2017,6,11,175,76,99,0.434,7,2,5,0.286,0,0,0,0,0,0,2.66,0.32,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Jenny_Boucek_at_2_August_2015_game_cropped.jpg/960px-Jenny_Boucek_at_2_August_2015_game_cropped.jpg,images/032_Jenny_Boucek.jpg,https://www.basketball-reference.com/wnba/coaches/bouceje01w.html,https://en.wikipedia.org/wiki/Jenny_Boucek,138
33,56,70.37,5.415,Karl Smesko,smeskka01w,1970-10-02,basketball-reference,"Bath Township, OH",basketball-reference,,,,Kent State University,basketball-reference,,,,ATL,Head Coach,2026,2,0,71,47,24,0.662,3,1,2,0.333,0,0,0,0,0,0,1.645,0.16,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/260527_Lynx_Dream_JohnMc218_%2855298549718%29_%28cropped%29.jpg/960px-260527_Lynx_Dream_JohnMc218_%2855298549718%29_%28cropped%29.jpg,images/033_Karl_Smesko.jpg,https://www.basketball-reference.com/wnba/coaches/smeskka01w.html,https://en.wikipedia.org/wiki/Karl_Smesko,138
34,55,69.44,5.19,Nancy Darsch,darscna99w,1951-12-29,basketball-reference,"Plymouth, MA",basketball-reference,2020-11-02,,,Springfield College,basketball-reference,,,,SEA,Assistant Coach,2013,4,9,110,56,54,0.509,2,1,1,0.5,0,0,0,0,0,0,1.96,0.16,https://upload.wikimedia.org/wikipedia/commons/f/f8/Nancy_Darsch_2011.jpg,images/034_Nancy_Darsch.jpg,https://www.basketball-reference.com/wnba/coaches/darscna99w.html,https://en.wikipedia.org/wiki/Nancy_Darsch,100
35,55,68.52,5.05,Derek Fisher,fishede99w,1974-08-09,basketball-reference,"Little Rock, AR",basketball-reference,,,,Little Rock,basketball-reference,"Parkview Arts and Science Magnet(Little Rock, Arkansas)",,,LAS,Head Coach,2022,4,0,100,54,46,0.54,5,1,4,0.2,0,0,0,0,0,0,1.89,0.16,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Derek_Fisher_Thunder.jpg/960px-Derek_Fisher_Thunder.jpg,images/035_Derek_Fisher.jpg,https://www.basketball-reference.com/wnba/coaches/fishede99w.html,https://en.wikipedia.org/wiki/Derek_Fisher,110
36,54,67.59,4.92,Joe Bryant,bryanjo99w,1954-10-19,basketball-reference,"Philadelphia, PA",basketball-reference,2024-07-15,,,La Salle,basketball-reference,"John Bartram(Philadelphia, Pennsylvania)",,,LAS,Assistant Coach,2011,3,1,64,40,24,0.625,7,2,5,0.286,0,0,0,0,0,0,1.4,0.32,https://upload.wikimedia.org/wikipedia/commons/8/88/Joe_Bryant_2010.jpg,images/036_Joe_Bryant.jpg,https://www.basketball-reference.com/wnba/coaches/bryanjo99w.html,https://en.wikipedia.org/wiki/Joe_Bryant,138
37,54,66.67,4.866,Sonny Allen,allenso99w,1936-03-08,basketball-reference,"Moundsville, WV",basketball-reference,2020-09-11,,,Marshall,basketball-reference,,,,SAC,Head Coach,2001,3,0,76,46,30,0.605,3,0,3,0,0,0,0,0,0,0,1.61,0,https://upload.wikimedia.org/wikipedia/commons/0/00/Sonny_Allen.jpg,images/037_Sonny_Allen.jpg,https://www.basketball-reference.com/wnba/coaches/allenso99w.html,https://en.wikipedia.org/wiki/Sonny_Allen,100
38,53,65.74,4.775,Nate Tibbetts,tibbena01w,1977-05-15,basketball-reference,"Sioux Falls, SD",basketball-reference,,,,South Dakota (1996–2001),wikipedia,"Jefferson(Jefferson, South Dakota)Roosevelt(Sioux Falls, South Dakota)",,,PHO,Head Coach,2026,3,0,113,57,56,0.504,13,5,8,0.385,0,0,0,0,0,0,1.995,0.8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Nate_Tibbetts_2025_%2854807585757%29_%28cropped%29.jpg/960px-Nate_Tibbetts_2025_%2854807585757%29_%28cropped%29.jpg,images/038_Nate_Tibbetts.jpg,https://www.basketball-reference.com/wnba/coaches/tibbena01w.html,https://en.wikipedia.org/wiki/Nate_Tibbetts,128
39,53,64.81,4.175,Maura McHugh,mchugma99w,1953-06-20,basketball-reference,"Worcester, MA",basketball-reference,,,,Old Dominion,basketball-reference,,,,SAC,Head Coach,2003,3,2,70,35,35,0.5,5,3,2,0.6,0,0,0,0,0,0,1.225,0.48,,,https://www.basketball-reference.com/wnba/coaches/mchugma99w.html,https://en.wikipedia.org/wiki/Maura_McHugh,128
40,52,63.89,4.12,Vickie Johnson,johnsvi01w,1972-04-15,basketball-reference,"Coushatta, LA",basketball-reference,,,,Louisiana Tech,basketball-reference,"Coushatta (Coushatta, Louisiana)",,,ATL,Assistant Coach,2024,3,11,102,40,62,0.392,4,1,3,0.25,0,0,0,1,0,0,1.4,0.16,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images/040_Vickie_Johnson.png,https://www.basketball-reference.com/wnba/coaches/johnsvi01w.html,https://en.wikipedia.org/wiki/Vickie_Johnson,138
41,52,62.96,4.111,Candi Harvey,harveca99w,,,,,,,,Ouachita Baptist University,basketball-reference,,,,SAS,Head Coach,2003,3,1,73,40,33,0.548,7,2,5,0.286,0,0,0,0,0,0,1.4,0.32,,,https://www.basketball-reference.com/wnba/coaches/harveca99w.html,https://en.wikipedia.org/wiki/Candi_Harvey,70
42,51,62.04,4.012,Julie Plank,plankju99w,1961-10-01,basketball-reference,"Columbus, OH",basketball-reference,,,,Ohio State,basketball-reference,,,,ATL,Assistant Coach,2013,2,10,68,38,30,0.559,4,0,4,0,0,0,0,0,0,0,1.33,0,,,https://www.basketball-reference.com/wnba/coaches/plankju99w.html,https://en.wikipedia.org/wiki/Julie_Plank,108
43,51,61.11,3.855,Karleen Thompson,thompka99w,1968-07-01,basketball-reference,"San Diego, CA",basketball-reference,,,,"Contra Costa College,USC",basketball-reference,,,,ATL,Associate Head Coach,2017,3,9,82,41,41,0.5,3,1,2,0.333,0,0,0,0,0,0,1.435,0.16,,,https://www.basketball-reference.com/wnba/coaches/thompka99w.html,https://en.wikipedia.org/wiki/Karleen_Thompson,128
44,50,60.19,3.76,Tanisha Wright,wrighta01w,1983-11-29,basketball-reference,"Brooklyn, NY",basketball-reference,,,,Penn State,basketball-reference,"West Mifflin(West Mifflin, Pennsylvania)",,,CHI,Assistant Coach,2025,3,3,116,48,68,0.414,4,0,4,0,0,0,0,1,0,0,1.68,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Wright5-20180523.jpg/960px-Wright5-20180523.jpg,images/044_Tanisha_Wright.jpg,https://www.basketball-reference.com/wnba/coaches/wrighta01w.html,https://en.wikipedia.org/wiki/Tanisha_Wright,138
45,50,59.26,3.7,Ron Rothstein,rothsro99w,1942-12-27,basketball-reference,"Bronxville, NY",basketball-reference,,,,Rhode Island,basketball-reference,"Roosevelt (Yonkers, New York)",,,MIA,Head Coach,2002,3,0,96,48,48,0.5,3,1,2,0.333,0,0,0,0,0,0,1.68,0.16,https://upload.wikimedia.org/wikipedia/commons/2/23/Ron_Rothstein_in_2010.jpg,images/045_Ron_Rothstein.jpg,https://www.basketball-reference.com/wnba/coaches/rothsro99w.html,https://en.wikipedia.org/wiki/Ron_Rothstein,138
46,49,58.33,3.373,Orlando Woolridge,woolror99w,1959-12-16,basketball-reference,"Bernice, LA",basketball-reference,2012-05-31,,,Notre Dame,basketball-reference,"Mansfield (Mansfield, Louisiana)",,,LAS,Head Coach,1999,2,1,42,25,17,0.595,4,2,2,0.5,0,0,0,0,0,0,0.875,0.32,https://upload.wikimedia.org/wikipedia/en/4/42/Orlando_Woolridge.jpg,images/046_Orlando_Woolridge.jpg,https://www.basketball-reference.com/wnba/coaches/woolror99w.html,https://en.wikipedia.org/wiki/Orlando_Woolridge,110
47,49,57.41,3.3,Trudi Lacey,laceytr99w,1958-12-12,basketball-reference,"Clifton Forge, VA",basketball-reference,,,,NC State,basketball-reference,,,,WAS,Head Coach,2012,5,2,160,48,112,0.3,2,0,2,0,0,0,0,0,0,0,1.68,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Trudi_Lacey_WNBA.jpg/960px-Trudi_Lacey_WNBA.jpg,images/047_Trudi_Lacey.jpg,https://www.basketball-reference.com/wnba/coaches/laceytr99w.html,https://en.wikipedia.org/wiki/Trudi_Lacey,138
48,49,56.48,3.295,Christie Sides,sidesch01w,1977-01-17,basketball-reference,"Baton Rouge, LA",basketball-reference,,,,"Ole Miss,Louisiana Tech",basketball-reference,"Central Private (Central, Louisiana)",,,IND,Head Coach,2024,2,9,80,33,47,0.412,2,0,2,0,0,0,0,1,0,0,1.155,0,https://upload.wikimedia.org/wikipedia/commons/b/bb/Christie_sides1_2024.jpg,images/048_Christie_Sides.jpg,https://www.basketball-reference.com/wnba/coaches/sidesch01w.html,https://en.wikipedia.org/wiki/Christie_Sides,138
